1,2,2,1,1
3,2,6,3,1
5,3,4,1,5
5,5,76,19,5
5,2,10,5,1
5,5,58,23,5
5,27,4162,187,5
5,27,5098,347,5
7,4,20,5,7
7,2,14,7,1
9,2,18,9,1
11,6,16,1,11
11,14,124,13,11
11,2,22,11,1
13,4,8,1,13
13,2,26,13,1
13,24,2786,131,13
13,8,1688,211,13
13,8,1364,259,13
13,8,1202,227,13
13,8,1148,287,13
13,8,1004,251,13
13,8,986,283,13
13,8,842,319,13
15,5,228,57,15
15,3,12,3,15
15,2,30,15,1
15,5,174,69,15
15,27,12486,561,15
15,27,15294,1041,15
17,7,16,1,17
17,31,280,23,17
17,2,34,17,1
19,11,62,5,19
19,2,38,19,1
21,4,60,15,21
21,2,42,21,1
23,43,2488,41,23
23,5,40,5,23
23,5,28,7,23
23,2,46,23,1
25,16,218,7,25
25,8,74,17,25
25,3,20,5,1
25,5,380,95,1
25,2,50,25,1
25,5,290,115,1
25,27,20810,935,1
25,27,25490,1735,1
27,2,54,27,1
29,5,16,1,29
29,17,196,11,29
29,2,58,29,1
29,65,3415660,3811,29
29,65,1577104,7055,29
31,23,212,13,31
31,2,62,31,1
33,14,372,39,11
33,6,48,3,11
33,2,66,33,1
35,8,208,13,35
35,8,136,17,35
35,4,100,25,7
35,3,28,7,5
35,5,532,133,5
35,2,70,35,1
35,5,406,161,5
35,27,29134,1309,5
35,27,35686,2429,5
37,6,152,19,37
37,6,98,23,37
37,6,116,29,37
37,2,74,37,1
39,4,24,3,13
39,2,78,39,1
39,24,8358,393,13
39,8,5064,633,13
39,8,4092,777,13
39,8,3606,681,13
39,8,3444,861,13
39,8,3012,753,13
39,8,2958,849,13
39,8,2526,957,13
41,20,256,1,41
41,2,82,41,1
43,11,56,1,43
43,2,86,43,1
45,5,684,171,5
45,2,90,45,1
45,3,36,9,45
45,5,522,207,5
45,27,37458,1683,5
45,27,45882,3123,5
47,28,988,25,47
47,18,88,5,47
47,7,520,65,47
47,7,412,89,47
47,7,358,73,47
47,7,340,85,47
47,2,94,47,1
47,7,286,101,47
49,38,2138,25,49
49,4,140,35,1
49,2,98,49,1
51,31,840,69,17
51,7,48,3,17
51,2,102,51,1
53,29,1162,103,53
53,2,106,53,1
55,12,134,1,55
55,6,80,5,11
55,6,56,7,55
55,28,1268,41,55
55,3,44,11,5
55,14,620,65,11
55,5,836,209,5
55,2,110,55,1
55,5,638,253,5
55,27,45782,2057,5
55,27,56078,3817,5
57,11,186,15,57
57,2,114,57,1
59,28,238,1,59
59,10,2128,133,59
59,10,1156,181,59
59,2,118,59,1
59,10,1480,185,59
59,10,868,217,59
59,10,1192,149,59
59,10,886,221,59
61,6,32,1,61
61,2,122,61,1
61,66,49916,235,61
63,4,180,45,7
63,2,126,63,1
65,24,664,19,65
65,4,40,5,13
65,3,52,13,5
65,5,988,247,5
65,2,130,65,1
65,24,13930,655,13
65,5,754,299,5
65,8,8440,1055,13
65,8,6820,1295,13
65,8,6010,1135,13
65,8,5740,1435,13
65,8,5020,1255,13
65,8,4930,1415,13
65,8,4210,1595,13
65,27,54106,2431,5
65,27,66274,4511,5
67,30,2120,17,67
67,2,134,67,1
69,43,7464,123,23
69,5,84,21,69
69,5,120,15,69
69,2,138,69,1
71,10,262,29,71
71,10,496,31,71
71,2,142,71,1
71,27,96976,4409,71
71,27,59878,2809,71
71,27,52174,3985,71
71,27,82720,2585,71
71,27,80686,4121,71
73,60,3194,19,73
73,12,116,5,73
73,15,404,47,73
73,2,146,73,1
75,16,654,21,75
75,5,1140,285,1
75,8,222,51,25
75,3,60,15,75
75,2,150,75,1
75,5,870,345,1
75,27,62430,2805,1
75,27,76470,5205,1
77,38,706,1,77
77,6,112,7,11
77,4,220,55,7
77,14,868,91,11
77,2,154,77,1
79,44,920,1,79
79,44,830,7,79
79,2,158,79,1
79,23,3728,233,79
79,23,2774,265,79
81,2,162,81,1
83,12,2104,109,83
83,12,1132,157,83
83,24,3292,65,83
83,2,166,83,1
85,100,5666,7,85
85,7,80,5,17
85,3,68,17,5
85,31,1400,115,17
85,5,1292,323,5
85,2,170,85,1
85,5,986,391,5
85,27,70754,3179,5
85,27,86666,5899,5
87,17,588,33,29
87,5,48,3,29
87,2,174,87,1
87,65,10246980,11433,29
87,65,4731312,21165,29
89,17,532,17,89
89,2,178,89,1
91,48,2654,1,91
91,12,800,25,91
91,4,56,7,13
91,12,278,59,91
91,4,260,65,7
91,2,182,91,1
91,24,19502,917,13
91,8,11816,1477,13
91,8,9548,1813,13
91,8,8414,1589,13
91,8,8036,2009,13
91,8,7028,1757,13
91,8,6902,1981,13
91,8,5894,2233,13
93,23,636,39,31
93,2,186,93,1
95,72,4576,1,95
95,11,310,25,19
95,11,364,23,95
95,11,472,17,95
95,3,76,19,5
95,5,1444,361,5
95,2,190,95,1
95,5,1102,437,5
95,27,79078,3553,5
95,27,96862,6593,5
97,18,218,1,97
97,9,104,13,97
97,2,194,97,1
99,6,144,9,99
99,14,1116,117,11
99,2,198,99,1
101,14,466,11,101
101,7,232,29,101
101,14,448,7,101
101,7,304,19,101
101,7,184,23,101
101,7,196,31,101
101,7,148,37,101
101,2,202,101,1
103,45,590,23,103
103,21,320,5,103
103,2,206,103,1
105,8,624,39,35
105,4,300,75,7
105,5,1596,399,5
105,8,408,51,35
105,3,84,21,105
105,2,210,105,1
105,5,1218,483,5
105,27,87402,3927,5
105,27,107058,7287,5
107,106,18208,1,107
107,2,214,107,1
109,52,5714,19,109
109,2,218,109,1
111,6,456,57,37
111,6,348,87,37
111,6,294,69,37
111,2,222,111,1
113,29,2128,1,113
113,2,226,113,1
115,27,2072,13,115
115,43,12440,205,23
115,34,1928,17,115
115,3,92,23,5
115,5,200,25,23
115,5,140,35,23
115,5,1748,437,5
115,2,230,115,1
115,5,1334,529,5
115,27,95726,4301,5
115,27,117254,7981,5
117,4,72,9,117
117,24,25074,1179,13
117,2,234,117,1
117,8,15192,1899,13
117,8,12276,2331,13
117,8,10818,2043,13
117,8,10332,2583,13
117,8,9036,2259,13
117,8,8874,2547,13
117,8,7578,2871,13
119,75,9844,1,119
119,7,160,5,119
119,7,112,7,17
119,7,88,11,119
119,39,592,23,119
119,4,340,85,7
119,25,2392,125,119
119,31,1960,161,17
119,2,238,119,1
121,44,1256,5,121
121,88,1706,19,121
121,6,176,11,1
121,14,1364,143,1
121,2,242,121,1
123,20,768,3,41
123,2,246,123,1
125,7,64,1,125
125,33,6436,47,125
125,16,1090,35,1
125,8,370,85,1
125,3,100,25,1
125,33,1954,143,125
125,5,1900,475,1
125,2,250,125,1
125,118,272656,899,125
125,5,1450,575,1
