k,max,max value,median,average
333669,7936,847691,3797,3889.88375
445419,398,616469,116,118.5837766
449235,2746,8365,691,856.8381028
560975,7455,972143,1905,2381.035114
636637,32253,265797,19758,20227.401
650389,15629,820359,8760,8743.689936
699075,3915,788597,1806,1692.94666
787369,15051,431955,8483,8276.555746
814071,8723,3581,4355,4610.023934
976257,3721,835271,1752,1856.608962
