k,max,max value,median,average
333669,1597,1,204.4926429,211.9302119
445419,214,1,6.243090898,6.462168135
449235,1084,1,37.48891265,46.65488365
560975,1079,1,103.2434386,129.6761595
636637,15504,1,1069.575725,1101.913809
650389,8132,1,476.5877445,476.2861462
699075,2468,1,96.38620294,92.15382962
787369,13584,1,460.0273009,451.0055351
814071,3101,1,236.6455136,251.0934778
976257,1217,1,94.82813297,101.0974562
